Exercise 11
* List all of the cities within the countries of Canada, Austria, Isle of Man, Ireland and Japan.

mysql> SELECT city, country FROM Address WHERE country="Canada" OR country="Austria" OR country="Isle of Man" OR country="Ireland" OR country="Japan" ORDER BY city;
+----------------+-------------+
| city           | country     |
+----------------+-------------+
| ?slahiye       | Japan       |
| Abbeville      | Japan       |
| Alness         | Austria     |
| Anápolis       | Canada      |
| Angers         | Canada      |
| Assen          | Ireland     |
| Baulers        | Canada      |
| Belfast        | Ireland     |
| Belfast        | Isle of Man |
| Berlin         | Japan       |
| Bodmin         | Austria     |
| Bozeman        | Japan       |
| Bremerhaven    | Isle of Man |
| Cagnes-sur-Mer | Ireland     |
| Calmar         | Canada      |
| Cartago        | Ireland     |
| Ceyhan         | Austria     |
| Ceyhan         | Isle of Man |
| Chartres       | Isle of Man |
| Chestermere    | Ireland     |
| Cork           | Canada      |
| Denderbelle    | Isle of Man |
| Dover          | Isle of Man |
| Dubbo          | Austria     |
| Edmundston     | Austria     |
| Galway         | Ireland     |
| Hamburg        | Austria     |
| Hillsboro      | Canada      |
| Horsham        | Isle of Man |
| Houston        | Japan       |
| Jackson        | Ireland     |
| Kailua         | Isle of Man |
| Kraków         | Ireland     |
| Lasnigo        | Ireland     |
| Mabompr?       | Canada      |
| Meridian       | Ireland     |
| Milena         | Japan       |
| Moulins        | Canada      |
| Nagaon         | Isle of Man |
| Ogbomosho      | Isle of Man |
| Pabianice      | Isle of Man |
| Pietraroja     | Canada      |
| Pontevedra     | Japan       |
| Quesada        | Canada      |
| Raj Nandgaon   | Ireland     |
| Rollegem       | Canada      |
| Rzeszów        | Japan       |
| San Francisco  | Canada      |
| San Vicente    | Isle of Man |
| Satara         | Canada      |
| Shimla         | Austria     |
| Siedlce        | Austria     |
| Springfield    | Canada      |
| Tauranga       | Austria     |
| Terneuzen      | Ireland     |
| Tirrases       | Canada      |
| Vienna         | Austria     |
| Zwickau        | Austria     |
+----------------+-------------+
58 rows in set (0.00 sec)
